UniprotID,Gene name,Name,Start of LCR,End of LCR,Protein length,LCR type,Organism,Source,Source ID,Start of annotation,End of annotation,Annotation,Category,Gene Ontology of category,
P14922,CYC8,General transcriptional corepressor CYC8,11,36,966,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),Variable Glutamine-Rich Repeats Modulate Transcription Factor Activity,10.1016/j.molcel.2015.07.003,15,30,expression variability,regulation of gene expression,GO:0010468,
P14922,CYC8,General transcriptional corepressor CYC8,490,597,966,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),Variable Glutamine-Rich Repeats Modulate Transcription Factor Activity,10.1016/j.molcel.2015.07.003,493,587,expression variability,regulation of gene expression,GO:0010468,
P22626,HNRNPA2B1,Heterogeneous nuclear ribonucleoproteins A2/B1,197,306,353,,Homo sapiens (Human),Cell-free formation of RNA granules: Low complexity sequence domains form dynamic fibers within hydrogels,10.1016/j.cell.2012.04.017,181,341,forming and dissolving RNA granules,molecular condensate scaffold activity,GO:0140693,
P22626,HNRNPA2B1,Heterogeneous nuclear ribonucleoproteins A2/B1,225,306,155,,Homo sapiens (Human),CryoEM structure of the low-complexity domain of hnRNPA2 and its conversion to pathogenic amyloid,10.1038/s41467-020-17905-y,263,319,fibril core,phase separation nucleator activity,GO:0140693,
P22626,HNRNPA2B1,Heterogeneous nuclear ribonucleoproteins A2/B1,225,306,1596,,Homo sapiens (Human),CryoEM structure of the low-complexity domain of hnRNPA2 and its conversion to pathogenic amyloid,10.1038/s41467-020-17905-y,286,291,mutation D290V causing inclusion body myositis,mutation,,
P22626,HNRNPA2B1,Heterogeneous nuclear ribonucleoproteins A2/B1,197,306,353,,Homo sapiens (Human),"The LC Domain of hnRNPA2 Adopts Similar Conformations in Hydrogel Polymers, Liquid-like Droplets and Nuclei",10.1016/j.cell.2015.10.040.,181,341,forming cross-β structure,β-strands,,
P22626,HNRNPA2B1,Heterogeneous nuclear ribonucleoproteins A2/B1,197,306,353,,Homo sapiens (Human),Structural characterization of the D290V mutation site in hnRNPA2 low-complexity-domain polymers,10.1073/pnas.1806174115,181,314,D290V mutation causes increased  termodynamical stability (can cause multisystem proteinopathy),mutation,,
P22626,HNRNPA2B1,Heterogeneous nuclear ribonucleoproteins A2/B1,225,352,353,,Homo sapiens (Human),Structural characterization of the D290V mutation site in hnRNPA2 low-complexity-domain polymers,10.1073/pnas.1806174115,280,341,core of cross-β structure,β-strands,,
P22626,HNRNPA2B1,Heterogeneous nuclear ribonucleoproteins A2/B1,225,352,353,,Homo sapiens (Human),Cellular model of TAR DNA-binding Protein 43 (TDP-43) aggregation based on its C-terminal Gln/Asn-rich region,10.1074/jbc.M111.288720,288,341,TDP-43-binding site,protein binding,GO:0005515,
P22626,HNRNPA2B1,Heterogeneous nuclear ribonucleoproteins A2/B1,321,352,353,,Homo sapiens (Human),F/YGG-motif is an intrinsically disordered nucleic-acid binding motif,10.1080/15476286.2022.2066336,307,353,stimulation of RNA binding,positive regulation of RNA binding,GO:1905216,
P22626,AF-15,Heterogeneous nuclear ribonucleoproteins A2/B1,225,306,353,,Homo sapiens (Human),F/YGG-motif is an intrinsically disordered nucleic-acid binding motif,10.1080/15476286.2022.2066336,239,306,nucleic acid binding F/YGG motif,nucleic acid binding,GO:0003676,
P26651,ZFP36,Zinc finger protein zfs1 ,,,837,,Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast),Rna-binding proteins distinguish between similar sequence motifs to promote targeted deadenylation by ccr4-not,10.7554/eLife.40670,322,392,contribution to deadenylation by Ccr4-Not,regulation of nuclear-transcribed mRNA poly(A) tail shortening,GO:0060211,
P26651,ZFP36,Zinc finger protein zfs1 ,,,506,,Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast),Rna-binding proteins distinguish between similar sequence motifs to promote targeted deadenylation by ccr4-not,10.7554/eLife.40670,322,392,RNA binding,RNA binding,GO:0003723,
P31384,CCR4,CCR4-Not complex 3'-5'-exoribonuclease subunit Ccr4,14,223,708,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),A role for Q/N-rich aggregation-prone regions in P-body localization,10.1242/jcs.024976.A,1,229,accumulation of protein in P-bodies under stress conditions,cytoplasmic stress granule,GO:0010494,
P31384,CCR4,CCR4-Not complex 3'-5'-exoribonuclease subunit Ccr4,14,152,708,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),CCR4 is a glucose-regulated transcription factor whose leucine-rich repeat binds several proteins important for placing CCR4 in its proper promoter context,10.1128/mcb.14.7.4522-4531.1994,1,160,glucose-responsive activation domain,regulation of exoribonuclease activity,GO:1901917,
P31384,CCR4,CCR4-Not complex 3'-5'-exoribonuclease subunit Ccr4,14,223,708,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),Intrinsically Disordered Regions Can Contribute Promiscuous Interactions to RNP Granule Assembly,10.1016/j.celrep.2018.01.036,1,229,forming RNP granules,molecular condensate scaffold activity,GO:0140693,
P31483,TIA1,Cytotoxic granule associated RNA binding protein TIA1,,,386,,Homo sapiens (Human),Cell-free formation of RNA granules: Low complexity sequence domains form dynamic fibers within hydrogels,10.1016/j.cell.2012.04.017,280,375,forming and dissolving RNA granules,molecular condensate scaffold activity,GO:0140693,
P35637,FUS,RNA-binding protein FUS,16,103,526,,Homo sapiens (Human),Molecular structure and interactions within amyloid-like fibrils formed by a low-complexity protein sequence from FUS,10.1038/s41467-020-19512-3,2,108,forming amyloid-like fibrils,molecular condensate scaffold activity,GO:0140693,
P35637,FUS,RNA-binding protein FUS,105,178,526,,Homo sapiens (Human),Molecular structure and interactions within amyloid-like fibrils formed by a low-complexity protein sequence from FUS,10.1038/s41467-020-19512-3,111,214,forming amyloid-like fibrils,molecular condensate scaffold activity,GO:0140693,
P35637,FUS,RNA-binding protein FUS,105,157,526,,Homo sapiens (Human),Molecular structure and interactions within amyloid-like fibrils formed by a low-complexity protein sequence from FUS,10.1038/s41467-020-19512-3,113,149,β-strands,β-strands,,
P35637,FUS,RNA-binding protein FUS,16,178,526,,Homo sapiens (Human),Phosphorylation-regulated binding of RNA polymerase II to fibrous polymers of low-complexity domains,10.1016/j.cell.2013.10.033,5,210,binding to (C-terminal domain of) RNA polimerase II,RNA polymerase II complex binding,GO:0000993,
P35637,FUS,RNA-binding protein FUS,41,103,526,,Homo sapiens (Human),Phosphorylation-regulated binding of RNA polymerase II to fibrous polymers of low-complexity domains,10.1016/j.cell.2013.10.033,58,76,"mutation Y59S and Y75S enhances binding to (C-terminal domain of) RNA polimerase II, can cause cancer",mutation,,
P35637,FUS,RNA-binding protein FUS,16,157,526,,Homo sapiens (Human),"Phosphorylation of the FUS low‐complexity domain disrupts phase separation, aggregation, and toxicity",10.15252/embj.201696394,1,163,primary recognition site of DNA-dependent protein kinase,DNA-dependent protein kinase activity,GO:0004677,
P35637,FUS,RNA-binding protein FUS,41,103,526,,Homo sapiens (Human),Structure of FUS Protein Fibrils and Its Relevance to Self-Assembly and Phase Separation of Low-Complexity Domains,10.1016/j.cell.2017.08.048,39,95,fibril core,phase separation nucleator activity,GO:0140693,
P35637,FUS,RNA-binding protein FUS,41,103,526,,Homo sapiens (Human),Structure of FUS Protein Fibrils and Its Relevance to Self-Assembly and Phase Separation of Low-Complexity Domains,10.1016/j.cell.2017.08.048,39,95,forming cross-β structure,β-strands,,
P39008,POP2,Poly(A) ribonuclease POP2,20,125,592,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),A role for Q/N-rich aggregation-prone regions in P-body localization,10.1242/jcs.024976.A,1,156,accumulation of protein in P-bodies under stress conditions,cytoplasmic stress granule,GO:0010494,
P39008,POP2,Poly(A) ribonuclease POP2,20,125,592,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),Intrinsically Disordered Regions Can Contribute Promiscuous Interactions to RNP Granule Assembly,10.1016/j.celrep.2018.01.036,1,156,forming RNP granules,molecular condensate scaffold activity,GO:0140693,
P39517,DHH1,ATP-dependent RNA helicase DHH1,438,484,1085,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),A role for Q/N-rich aggregation-prone regions in P-body localization,10.1242/jcs.024976.A,427,506,accumulation of protein in P-bodies under stress conditions,cytoplasmic stress granule,GO:0010494,
P39517,DHH1,ATP-dependent RNA helicase DHH1,438,484,1085,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),Intrinsically Disordered Regions Can Contribute Promiscuous Interactions to RNP Granule Assembly,10.1016/j.celrep.2018.01.036,426,506,involved in forming RNP granules,molecular condensate scaffold activity,GO:0140693,
P40070,LSM4,U6 snRNA-associated Sm-like protein LSm4,93,166,187,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),Edc3p and a glutamine/asparagine-rich domain of Lsm4p function in processing body assembly in Saccharomyces cerevisiae,10.1083/jcb.200704147,90,187,P-body assembly,P-body assembly,GO:0033962,
P49959,MRE11,Double-strand break repair protein MRE11,568,594,708,,Homo sapiens (Human),A Glycine-Arginine Domain in Control of the Human MRE11 DNA Repair Protein,10.1128/mcb.02025-07,566,594,G/A rich motif essential for determining the localization of MRE11 following DNA damage,DNA repair,GO:0006281,
P53297,PBP1,PAB1-binding protein 1,576,720,441,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),Yeast Ataxin-2 Forms an Intracellular Condensate Required for the Inhibition of TORC1 Signaling during Respiratory Growth,10.1016/j.cell.2019.02.043,570,722,phase separation (forming droplets),phase separation nucleator activity,GO:0140693,
P53297,PBP1,PAB1-binding protein 1,576,720,187,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),Yeast Ataxin-2 Forms an Intracellular Condensate Required for the Inhibition of TORC1 Signaling during Respiratory Growth,10.1016/j.cell.2019.02.043,570,722,inhibition of non-specific binding,negative regulation of TORC1 signaling,GO:1904262,
P53927,NOP15,Ribosome biogenesis protein 15,25,50,220,,Saccharomyces cerevisiae,Intrinsically disordered electronegative clusters improve stability and binding specificity of RNA-binding proteins,10.1016/j.jbc.2021.100945,40,49,protein stabilization,protein stabilization,GO:0050821,
P53928,YNL109W,Ribosome biogenesis protein 16,25,50,181,,Saccharomyces cerevisiae,Intrinsically disordered electronegative clusters improve stability and binding specificity of RNA-binding proteins,10.1016/j.jbc.2021.100946,40,49,inhibition of non-specific binding,negative regulation of RNA binding,GO:1905215,
P98179,RBM3,RNA-binding protein 3,81,137,157,,Homo sapiens (Human),Cell-free formation of RNA granules: Low complexity sequence domains form dynamic fibers within hydrogels,10.1016/j.cell.2012.04.017,1,157,forming and dissolving RNA granules,molecular condensate scaffold activity,GO:0140693,
Q06787,FMR1,Synaptic functional regulator FMR1 ,491,548,632,,Homo sapiens (Human),Cell-free formation of RNA granules: Low complexity sequence domains form dynamic fibers within hydrogels,10.1016/j.cell.2012.04.017,466,632,forming and dissolving RNA granules,molecular condensate scaffold activity,GO:0140693,
Q07807,PUF3,mRNA-binding protein PUF3,397,534,722,,Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast),Rna-binding proteins distinguish between similar sequence motifs to promote targeted deadenylation by ccr4-not,10.7554/eLife.40670,378,714,RNA binding,RNA binding,GO:0003723,
Q07807,PUF3,mRNA-binding protein PUF3,397,534,433,,Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast),Rna-binding proteins distinguish between similar sequence motifs to promote targeted deadenylation by ccr4-not,10.7554/eLife.40670,378,714,stimulation of deadenylation by Ccr4-Not,positive regulation of nuclear-transcribed mRNA poly(A) tail shortening,GO:0060213,
Q13148,TDP43,TAR DNA-binding protein 43,271,403,414,,Homo sapiens (Human),Cell-free formation of RNA granules: Low complexity sequence domains form dynamic fibers within hydrogels,10.1016/j.cell.2012.04.017,263,414,forming and dissolving RNA granules,molecular condensate scaffold activity,GO:0140693,(podobne wnioski na podstawie innej pracy są w bazie DisProt)
Q13148,TDP43,TAR DNA-binding protein 43,367,403,526,,Homo sapiens (Human),Identification of the Rigid Core for Aged Liquid Droplets of an RNA-Binding Protein Low Complexity Domain,10.1021/jacs.1c02424,365,400,stabilization of beta-strand,molecular condensate scaffold activity,GO:0140693,
Q13148,TDP43,TAR DNA-binding protein 43,271,403,414,,Homo sapiens (Human),Molecular basis of UG-rich RNA recognition by the human splicing factor TDP-43,10.1038/nsmb.2698,274,414,protein binding,protein binding,GO:0005515,
Q13148,TDP43,TAR DNA-binding protein 43,271,403,414,,Homo sapiens (Human),The role of liquid-liquid phase separation in aggregation of the TDP-43 low-complexity domain,10.1074/jbc.RA118.007222,267,414,phase separation (forming droplets),phase separation nucleator activity,GO:0140693,
Q13148,TDP43,TAR DNA-binding protein 43,320,357,414,,Homo sapiens (Human),Cellular model of TAR DNA-binding Protein 43 (TDP-43) aggregation based on its C-terminal Gln/Asn-rich region,10.1074/jbc.M111.288720,321,366,hnRNP-A2 binding site,protein binding,GO:0005515,
Q13148,TDP43,TAR DNA-binding protein 43,341,357,414,,Homo sapiens (Human),Cellular model of TAR DNA-binding Protein 43 (TDP-43) aggregation based on its C-terminal Gln/Asn-rich region,10.1074/jbc.M111.288720,331,369,forming aggregates,phase separation nucleator activity,GO:0140693,
Q13148,TDP43,TAR DNA-binding protein 43,271,403,414,,Homo sapiens (Human),The influence of pathological mutations and proline substitutions in TDP-43 glycine-rich peptides on its amyloid properties and cellular toxicity,10.1371/journal.pone.0103644,277,414,"G294V mutation displayed enhanced amyloidogenic and prion-like characteristics, which may contribute a toxic gain-of-function in TDP-43 proteinopathy",mutation,,
Q13148,TDP43,TAR DNA-binding protein 43,271,403,414,,Homo sapiens (Human),The influence of pathological mutations and proline substitutions in TDP-43 glycine-rich peptides on its amyloid properties and cellular toxicity,10.1371/journal.pone.0103645,277,414,"G295S mutation displayed enhanced amyloidogenic and prion-like characteristics, which may contribute a toxic gain-of-function in TDP-43 proteinopathy",mutation,,
Q13148,TDP43,TAR DNA-binding protein 43,320,328,414,,Homo sapiens (Human),TDP-43 condensation properties specify its RNA-binding and regulatory repertoire,10.1016/j.cell.2021.07.018,316,346,alfa helix,,,
Q14011,CIRBP,Cold-inducible RNA-binding protein,85,166,172,,Homo sapiens (Human),Cell-free formation of RNA granules: Low complexity sequence domains form dynamic fibers within hydrogels,10.1016/j.cell.2012.04.017,1,172,forming and dissolving RNA granules,molecular condensate scaffold activity,GO:0140693,
Q7Z5Q1,CPEB2,Cytoplasmic polyadenylation element-binding protein 2,23,140,589,,Homo sapiens (Human),Cell-free formation of RNA granules: Low complexity sequence domains form dynamic fibers within hydrogels,10.1016/j.cell.2012.04.017,2,137,forming and dissolving RNA granules,molecular condensate scaffold activity,GO:0140693,
Q8IZH2,XRN1,5'-3' exoribonuclease 1,1190,1656,966,,Homo sapiens (Human),A low-complexity region in human XRN1 directly recruits deadenylation and decapping factors in 5'-3' messenger RNA decay,10.1093/nar/gkz633,1174,1650,inhibitation of CAF1 deadenylation activity,protein deadenylylation,GO:0044602,
Q8IZH2,XRN1,5'-3' exoribonuclease 1,1190,1656,966,,Homo sapiens (Human),A low-complexity region in human XRN1 directly recruits deadenylation and decapping factors in 5'-3' messenger RNA decay,10.1093/nar/gkz633,1174,1650,interaction with PatL1 human protein,protein binding,GO:0005515,
Q92804,TAF15,TATA-binding protein-associated factor 2N,3,195,592,,Homo sapiens (Human),Phosphorylation-regulated binding of RNA polymerase II to fibrous polymers of low-complexity domains,10.1016/j.cell.2013.10.033,6,191,binding to (C-terminal domain of) RNA polimerase II,RNA polymerase II complex binding,GO:0000993,
Q95TA3,Tm1,GH09289p,370,436,833,,Drosophila melanogaster (Fruit fly),Dynamic structural order of a low-complexity domain facilitates assembly of intermediate filaments,10.1073/pnas.2010000117,373,441,assembly of intermediate filaments,intermediate filament,GO:0005882,
Q9BYR0,KRTAP4-7,Keratin-associated protein 4-7,22,179,155,,Homo sapiens (Human),"Size polymorphisms in the human ultrahigh sulfur hair keratin-associated protein 4, KAP4, gene family.",10.1111/j.0022-202X.2005.23662.x,5,178,31 X 5 AA repeats of C-C-[GIKRQVHEML]-[SPTRV]-[STVQRCP];region of interest,form intermediate filaments,GO:0045109,Asi
Q9WV02,Rbmx,"RNA-binding motif protein, X chromosome",90,126,391,,Mus musculus,Regulation of Co-transcriptional Pre-mRNA Splicing by m6A through the Low-Complexity Protein hnRNPG,10.1016/j.molcel.2019.07.005,101,152,regulation of alternative splicing,regulation of alternative mRNA splicing,GO:0000381,
Q9WV02,Rbmx,"RNA-binding motif protein, X chromosome",354,390,879,,Mus musculus,Regulation of Co-transcriptional Pre-mRNA Splicing by m6A through the Low-Complexity Protein hnRNPG,10.1016/j.molcel.2019.07.005,334,391,regulation of alternative splicing,regulation of alternative mRNA splicing,GO:0000381,
Q9WV02,Rbmx,"RNA-binding motif protein, X chromosome",354,390,326,,Mus musculus,Novel domains in the hnRNP G/RBMX protein with distinct roles in RNA binding and targeting nascent transcripts,10.4161/nucl.1.1.10857,333,391,RNA binding (with an A/G-rich motif),RNA binding,GO:0003723,
